Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
2383 Altisma Way,The Villas At La Costa,31,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-6328,1850,2.22,4111,,,,,,,,,,5.76,,1991,,2,9,Market,Sunrise Management - The Villas at La Costa,,7605920814,4033012,Eric Suh,Yk Logic USA Inc,12,San Diego,"Air Conditioning, Clubhouse, Fitness Center, Pool, Spa, Grill",,13,16,2,,0,,33.0950812,-117.2565236,0.0,,,6.3,7.7
6610 Ambrosia Ln,Windsor Aviara,290,4,A,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92011,904,3.79,3427,,,,,,,,,,3.78,,1999,,2,17,Market,Windsor - Windsor At Aviara,,7609301203,4317148,Gregory Bates,GID Investment Advisors LLC,500,San Diego,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Spa, Energy Star Labeled, Furnished Units Available, Grill, Media Center/Movie Theatre, Recycling, Smoke Free, Walking/Biking Trails, Car Charging Station, Maintenance on site, Online Services, Patio, Wheelchair Accessible (Rooms)",165,104,21,,,1,,33.1096700,-117.2793520,,3.6,,4.8,3.9
2371-2399 Caringa Way,Elan Alicante La Costa,74,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-6359,1054,2.99,3157,,,,,,,,,,8.03,,1991,,2,8,Market,AMC - Elan Alicante La Costa,,,4175663,Mark Gosselin,Property West Residential,160,San Diego,"Air Conditioning, Fitness Center, Sauna, Spa, Storage Space, Maintenance on site, Patio",,54,20,,,0,,33.0942192,-117.2560512,,,,10.0,7.4
1901 Cassia Rd,The Tradition,157,4,A,Multi-Family,Apartments,Affordable Units,Existing,San Diego,Carlsbad,Carlsbad,CA,92011,1278,2.82,3600,,,,,,,,,,5.92,,2005,,3,16,Market/Affordable,ConAm - The Tradition Apartment Homes,,7609189400,7770488,Daniel Epstein,CONAM Management Corporation,350,San Diego,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Spa, Breakfast/Coffee Concierge, Storage Space, Maintenance on site, Window Coverings",,56,101,,,0,,33.1136290,-117.2734570,,,,5.9,5.4
2005-2029 Cassia Rd,Cassia Heights,56,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-4202,1018,1.75,1777,,,,,,,,,,0.27,,2007,,2,4,Affordable,Solari - Cassia Heights Apartments,,7604760546,8222510,Jimmy Silverwood,"Affirmed Housing Group, Inc",80,San Diego,"Air Conditioning, Business Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Freezer, Patio, Wheelchair Accessible (Rooms), Public Transportation",12,22,22,,,0,,33.1137207,-117.2711546,,0.0,,0.0,0.0
1925-1953 Dove Ln,La Costa Paloma,180,4,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,1076,1.73,1860,,,,,,,,,,1.48,,2004,,3,7,Affordable,ConAm - La Costa Paloma Apartments,,7604769860,8222508,,Community HousingWorks,350,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",32,38,80,30,,0,,33.1038917,-117.2650438,0.0,3.1,,1.3,2.6
7504-7514 Gibraltar St,Bella La Costa,24,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7476,1164,2.61,3050,,,,,,,,,,9.54,,1987,,2,4,Market,Grover Realty - Bella La Costa,,7604526555,5810918,Shawn Grover,Bella La Costa  LLC,48,San Diego,"Air Conditioning, Property Manager on Site, Pet Play Area, Storage Space, Maintenance on site, Online Services, Patio",,24,,,,0,,33.0875850,-117.2444000,,,,,8.3
7520-7524 Gibraltar St,La Costa 15,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,928,2.74,2541,,,,,,,,,,2.54,,,,2,3,Market,Trilar - La Costa 15,,7607530202,8222523,,Gibraltar Street L L C,30,San Diego,"24 Hour Access, Walking/Biking Trails, Patio, Window Coverings",2,13,,,,0,,33.0872340,-117.2448710,,0.0,,,0.0
7552-7556 Gibraltar St,La Costa Seashore,25,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7478,,,1902,,,,,,,,,,4.22,,1986,,2,2,Market,CTM - La Costa Seashore,,7604025749,4181306,,Harold Coykendall,42,San Diego,"Laundry Facilities, Spa, Patio",2,16,7,,,0,,33.0863920,-117.2463250,,0.0,,0.0,6.3
2930 La Costa Ave,La Costa Bluffs,24,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7471,1483,2.10,3116,,,,,,,,,,4.33,,,,2,1,Market,Allen Properties - La Costa Bluffs,,7604027130,9401957,,Salman Rabie,,San Diego,"Air Conditioning, Recycling",,,24,,,0,,33.0859174,-117.2459393,,,,4.2,
